xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[ｰ/s],MM5_yawRate[ｰ/s]
0.97,0,-0.009593,-0.011657,-0.995211,0.022,0.1
0.98,0,-0.010587,-0.011988,-0.994446,0.054,0.059
0.99,0,-0.01046,-0.012039,-0.993784,0.072,0.042
1,0,-0.00916,-0.012345,-0.993554,0.063,0.06
1.01,0,-0.008854,-0.012727,-0.994242,0.06,0.101
1.02,0,-0.010077,-0.013313,-0.996357,0.06,0.086
1.03,0,-0.010689,-0.013848,-0.998574,0.06,0.048
1.04,0,-0.009848,-0.014154,-0.998396,0.072,0.028
1.05,0,-0.008701,-0.014715,-0.996612,0.119,0.057
1.06,0,-0.008574,-0.015148,-0.996612,0.154,0.077
1.07,0,-0.008905,-0.014409,-0.998447,0.16,0.068
1.08,0,-0.00888,-0.01339,-0.998574,0.104,0.045
1.09,0,-0.008956,-0.01339,-0.995746,0.034,0.04
1.1,0,-0.009287,-0.014052,-0.993121,-0.004,0.028
1.11,0,-0.009874,-0.014511,-0.992943,0.022,-0.019
1.12,0,-0.010205,-0.013772,-0.994956,0.078,-0.042
1.13,0,-0.009746,-0.012447,-0.996765,0.122,-0.013
1.14,0,-0.009313,-0.011555,-0.996892,0.106,0.031
1.15,0,-0.009033,-0.011402,-0.997351,0.08,0.06
1.16,0,-0.009186,-0.011606,-0.998701,0.063,0.053
1.17,0,-0.009542,-0.012065,-0.999721,0.06,0.05
1.18,0,-0.009924,-0.012982,-0.999185,0.036,0.05
1.19,0,-0.010307,-0.014307,-0.997784,0.042,0.05
1.2,0,-0.010281,-0.015403,-0.996153,0.101,0.062
1.21,0,-0.00944,-0.015097,-0.995516,0.151,0.077
1.22,0,-0.008625,-0.014154,-0.996255,0.136,0.068
1.23,0,-0.007963,-0.013543,-0.997274,0.118,0.065
1.24,0,-0.007631,-0.012931,-0.997173,0.095,0.045
1.25,0,-0.007886,-0.012498,-0.995465,0.066,0.028
1.26,0,-0.007963,-0.012931,-0.99251,0.028,0.037
1.27,0,-0.007861,-0.013772,-0.989936,0.02,0.072
1.28,0,-0.008345,-0.014664,-0.989962,0.02,0.08
1.29,0,-0.009186,-0.014842,-0.992128,0.02,0.068
1.3,0,-0.010179,-0.014332,-0.993351,0.028,0.053
1.31,0,-0.010893,-0.013696,-0.993835,0.054,0.05
1.32,0,-0.01102,-0.012957,-0.99544,0.104,0.05
1.33,0,-0.010205,-0.011988,-0.996536,0.151,0.062
1.34,0,-0.008574,-0.01209,-0.995593,0.136,0.077
1.35,0,-0.007402,-0.012676,-0.993988,0.062,0.056
1.36,0,-0.006892,-0.013313,-0.992229,0.089,0.062
1.37,0,-0.007631,-0.013237,-0.990446,0.212,0.053
1.38,0,-0.00865,-0.012574,-0.990089,0.32,0.042
1.39,0,-0.008956,-0.012523,-0.991516,0.296,0.004
1.4,0,-0.00888,-0.012957,-0.994726,0.161,-0.037
1.41,0,-0.008854,-0.01316,-0.997886,0.042,-0.033
1.42,0,-0.00916,-0.01288,-0.998803,-0.004,0.002
1.43,0,-0.009338,-0.0126,-0.998166,0.002,0.042
1.44,0,-0.009058,-0.012549,-0.99758,0.037,0.098
1.45,0,-0.008064,-0.013058,-0.997478,0.081,0.13
1.46,0,-0.007326,-0.013084,-0.996867,0.11,0.123
1.47,0,-0.007504,-0.012549,-0.995695,0.103,0.076
1.48,0,-0.008294,-0.012422,-0.99493,0.092,0.009
1.49,0,-0.008778,-0.013033,-0.995211,0.122,-0.005
1.5,0,-0.00916,-0.013797,-0.99623,0.142,0.031
1.51,0,-0.009848,-0.01446,-0.996969,0.109,0.06
1.52,0,-0.010205,-0.014383,-0.998013,0.056,0.045
1.53,0,-0.00995,-0.012906,-0.999873,0.033,0.048
1.54,0,-0.010179,-0.011326,-0.999975,0.03,0.086
1.55,0,-0.010561,-0.010816,-0.997453,0.054,0.127
1.56,0,-0.010434,-0.011275,-0.995211,0.072,0.115
1.57,0,-0.009772,-0.011606,-0.995924,0.051,0.086
1.58,0,-0.009109,-0.012065,-0.997631,-0.011,0.048
1.59,0,-0.008676,-0.012982,-0.998396,-0.013,0.06
1.6,0,-0.008905,-0.013797,-0.997682,0.034,0.077
1.61,0,-0.009287,-0.014154,-0.996357,0.081,0.056
1.62,0,-0.009568,-0.013899,-0.995058,0.09,0.018
1.63,0,-0.010434,-0.013517,-0.994191,0.078,-0.014
1.64,0,-0.010944,-0.013237,-0.994242,0.107,0.016
1.65,0,-0.010714,-0.01288,-0.996332,0.139,0.057
1.66,0,-0.010128,-0.013008,-0.998574,0.121,0.077
1.67,0,-0.009491,-0.013364,-0.998192,0.083,0.092
1.68,0,-0.008752,-0.013746,-0.996255,0.051,0.107
1.69,0,-0.00809,-0.013619,-0.994905,0.045,0.098
1.7,0,-0.007963,-0.013262,-0.995287,0.069,0.071
1.71,0,-0.007963,-0.013186,-0.996561,0.095,0.045
1.72,0,-0.007861,-0.01339,-0.997351,0.124,0.048
1.73,0,-0.008141,-0.013543,-0.997173,0.174,0.074
1.74,0,-0.008829,-0.013874,-0.996892,0.173,0.08
1.75,0,-0.009695,-0.014154,-0.997147,0.114,0.08
1.76,0,-0.010179,-0.014001,-0.996816,0.056,0.068
1.77,0,-0.010052,-0.013543,-0.995899,0.033,0.033
1.78,0,-0.009695,-0.013135,-0.994676,0.03,0.001
1.79,0,-0.009313,-0.013059,-0.993809,0.066,0.019
1.8,0,-0.008727,-0.012855,-0.994268,0.107,0.057
1.81,0,-0.007682,-0.012804,-0.995542,0.115,0.065
1.82,0,-0.007147,-0.012804,-0.996637,0.071,0.033
1.83,0,-0.007478,-0.012498,-0.997453,0.028,0.013
1.84,0,-0.008701,-0.012422,-0.996077,0.04,0.034
1.85,0,-0.009491,-0.013033,-0.993249,0.045,0.048
1.86,0,-0.009415,-0.014001,-0.991924,0.033,0.05
1.87,0,-0.009058,-0.014715,-0.992765,0.022,0.05
1.88,0,-0.00888,-0.014332,-0.99465,0.04,0.05
1.89,0,-0.008854,-0.013594,-0.995873,0.089,0.05
1.9,0,-0.008854,-0.013135,-0.996179,0.136,0.05
1.91,0,-0.008345,-0.013466,-0.995593,0.133,0.074
1.92,0,-0.007606,-0.01418,-0.99493,0.074,0.104
1.93,0,-0.006943,-0.014231,-0.994701,0.072,0.118
1.94,0,-0.006714,-0.013696,-0.994777,0.143,0.1
1.95,0,-0.006485,-0.013466,-0.995007,0.18,0.059
1.96,0,-0.00623,-0.013135,-0.994854,0.129,0.042
1.97,0,-0.006179,-0.013059,-0.993376,0.039,0.04
1.98,0,-0.006383,-0.013364,-0.991592,-0.028,0.06
1.99,0,-0.006943,-0.013848,-0.99144,0.008,0.101
2,0,-0.007478,-0.01446,-0.993223,0.108,0.142
2.01,0,-0.008294,-0.014587,-0.994166,0.142,0.15
2.02,0,-0.009593,-0.01367,-0.994293,0.089,0.106
2.03,0,-0.009975,-0.01232,-0.994701,0.063,0.083
2.04,0,-0.009084,-0.012141,-0.994089,0.048,0.068
2.05,0,-0.008039,-0.013186,-0.991975,0.081,0.053
2.06,0,-0.007937,-0.014358,-0.990981,0.154,0.05
2.07,0,-0.008982,-0.014587,-0.992994,0.162,0.03
2.08,0,-0.009542,-0.01367,-0.995669,0.048,0.013
2.09,0,-0.009007,-0.012727,-0.997325,-0.072,0.054
2.1,0,-0.007835,-0.013364,-0.997911,-0.083,0.109
2.11,0,-0.007886,-0.014383,-0.997274,-0.036,0.12
2.12,0,-0.009084,-0.014587,-0.996077,-0.013,0.076
2.13,0,-0.010077,-0.014383,-0.996332,0.014,0.045
2.14,0,-0.010256,-0.014333,-0.996459,0.04,0.04
2.15,0,-0.010052,-0.014231,-0.996255,0.033,0.048
2.16,0,-0.010001,-0.014307,-0.997224,-0.002,0.05
2.17,0,-0.009491,-0.014536,-0.998396,0.002,0.05
2.18,0,-0.008956,-0.014078,-0.997096,0.025,0.018
2.19,0,-0.00865,-0.013543,-0.993656,0.042,-0.014
2.2,0,-0.008803,-0.013543,-0.991159,0.013,-0.02
2.21,0,-0.00916,-0.014383,-0.991643,-0.031,0.016
2.22,0,-0.009033,-0.015097,-0.993503,-0.028,0.037
2.23,0,-0.00837,-0.014919,-0.993605,0.055,0.04
2.24,0,-0.007708,-0.014027,-0.993019,0.163,0.048
2.25,0,-0.007886,-0.013211,-0.993402,0.221,0.05
2.26,0,-0.008676,-0.013059,-0.994446,0.182,0.03
2.27,0,-0.009772,-0.012855,-0.996102,0.094,0.013
2.28,0,-0.010918,-0.0126,-0.99758,0.031,0.034
2.29,0,-0.011147,-0.012447,-0.996739,0.028,0.072
2.3,0,-0.009721,-0.012523,-0.99279,0.042,0.092
2.31,0,-0.008752,-0.013058,-0.989529,0.057,0.071
2.32,0,-0.009109,-0.013797,-0.988943,0.06,0.053
2.33,0,-0.010154,-0.014664,-0.990471,0.084,0.042
2.34,0,-0.010689,-0.015148,-0.992484,0.122,0.028
2.35,0,-0.010052,-0.014205,-0.99493,0.142,0.025
2.36,0,-0.008854,-0.012829,-0.997071,0.145,0.025
2.37,0,-0.00809,-0.012141,-0.99758,0.145,0.057
2.38,0,-0.008166,-0.012039,-0.996994,0.145,0.101
2.39,0,-0.008727,-0.012345,-0.996739,0.145,0.13
2.4,0,-0.00865,-0.012523,-0.997325,0.133,0.115
2.41,0,-0.007376,-0.012243,-0.99758,0.098,0.074
2.42,0,-0.00544,-0.011759,-0.996485,0.042,0.045
2.43,0,-0.004523,-0.011249,-0.995287,0.022,0.072
2.44,0,-0.00572,-0.011046,-0.995873,0.052,0.112
2.45,0,-0.007988,-0.011326,-0.997198,0.072,0.112
2.46,0,-0.009186,-0.011912,-0.99809,0.095,0.11
2.47,0,-0.009262,-0.012039,-0.998039,0.136,0.11
2.48,0,-0.008931,-0.012039,-0.99758,0.189,0.11
2.49,0,-0.008549,-0.011835,-0.996867,0.188,0.11
2.5,0,-0.008472,-0.011173,-0.996714,0.129,0.11
2.51,0,-0.008064,-0.010714,-0.997733,0.039,0.11
2.52,0,-0.007657,-0.011249,-0.998192,-0.016,0.098
2.53,0,-0.007478,-0.012829,-0.99651,0.011,0.083
2.54,0,-0.007861,-0.014511,-0.994446,0.052,0.068
