xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[?/s],MM5_yawRate[?/s]
0.97,0,-0.004625,-0.016294,-0.995593,-0.034,0.165
0.98,0,-0.006128,-0.015938,-0.996587,-0.004,0.138
0.99,0,-0.006306,-0.015505,-0.996,0.02,0.096
1,0,-0.005058,-0.015505,-0.994523,0.002,0.056
1.01,0,-0.003478,-0.016524,-0.99414,-0.019,0.046
1.02,0,-0.002637,-0.018741,-0.994981,-0.025,0.05
1.03,0,-0.002255,-0.020957,-0.995593,0.002,0.068
1.04,0,-0.00172,-0.021645,-0.995313,0.053,0.113
1.05,0,-0.001465,-0.020983,-0.994905,0.066,0.162
1.06,0,-0.002153,-0.019887,-0.995414,0.018,0.186
1.07,0,-0.002994,-0.019276,-0.996051,-0.034,0.175
1.08,0,-0.003249,-0.018944,-0.995899,-0.017,0.147
1.09,0,-0.003631,-0.018027,-0.995542,0.02,0.12
1.1,0,-0.004115,-0.016982,-0.995211,0.024,0.116
1.11,0,-0.004268,-0.016091,-0.995058,0.011,0.129
1.12,0,-0.004497,-0.015199,-0.996281,0.029,0.135
1.13,0,-0.004879,-0.014919,-0.999007,0.072,0.135
1.14,0,-0.005032,-0.015963,-1.001581,0.09,0.135
1.15,0,-0.004574,-0.017467,-1.002218,0.054,0.135
1.16,0,-0.003045,-0.018486,-1.00023,-0.012,0.135
1.17,0,-0.000548,-0.019021,-0.997249,-0.04,0.135
1.18,0,0.001949,-0.019174,-0.995007,-0.013,0.135
1.19,0,0.003707,-0.019174,-0.992459,0.02,0.135
1.2,0,0.004268,-0.018944,-0.989019,0.057,0.126
1.21,0,0.003733,-0.018639,-0.987388,0.099,0.096
1.22,0,0.002994,-0.019378,-0.989427,0.133,0.071
1.23,0,0.002739,-0.02055,-0.992765,0.136,0.074
1.24,0,0.00228,-0.020804,-0.99465,0.106,0.08
1.25,0,0.000905,-0.020397,-0.99544,0.054,0.089
1.26,0,-0.000803,-0.019734,-0.995542,0.03,0.11
1.27,0,-0.001542,-0.019276,-0.994599,0.048,0.129
1.28,0,-0.001363,-0.019327,-0.99358,0.084,0.126
1.29,0,-0.00144,-0.019429,-0.993886,0.109,0.114
1.3,0,-0.002816,-0.018817,-0.99544,0.082,0.11
1.31,0,-0.004854,-0.017568,-0.996587,0.036,0.11
1.32,0,-0.005669,-0.016855,-0.995618,0.035,0.11
1.33,0,-0.005516,-0.017365,-0.993045,0.078,0.11
1.34,0,-0.005873,-0.018231,-0.99042,0.109,0.116
1.35,0,-0.006943,-0.018231,-0.989681,0.133,0.129
1.36,0,-0.006994,-0.017645,-0.990599,0.127,0.135
1.37,0,-0.005313,-0.017161,-0.991796,0.073,0.135
1.38,0,-0.003019,-0.017314,-0.993096,-0.006,0.135
1.39,0,-0.001567,-0.0179,-0.994115,-0.046,0.135
1.4,0,-0.000981,-0.018078,-0.994421,-0.044,0.144
1.41,0,-0.000369,-0.017874,-0.994574,-0.004,0.168
1.42,0,0.000395,-0.017925,-0.995746,0.02,0.153
1.43,0,0.00093,-0.018104,-0.997759,0.011,0.102
1.44,0,0.000777,-0.017772,-0.998854,0.02,0.071
1.45,0,-0.000191,-0.016982,-0.997861,0.057,0.083
1.46,0,-0.001236,-0.016244,-0.995262,0.099,0.119
1.47,0,-0.001975,-0.016218,-0.992968,0.124,0.153
1.48,0,-0.002153,-0.016982,-0.992178,0.097,0.18
1.49,0,-0.001949,-0.017849,-0.991898,0.066,0.208
