xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[?/s],MM5_yawRate[?/s]
1,0,0.004039,-0.026155,-1.004995,0.099,0.044
1.01,0,0.004141,-0.027378,-1.002625,0.106,0.046
1.02,0,0.00437,-0.026359,-0.998294,0.067,0.077
1.03,0,0.005134,-0.024244,-0.994548,0.021,0.104
1.04,0,0.005848,-0.022155,-0.992663,0.014,0.101
1.05,0,0.005975,-0.02111,-0.992026,0.044,0.077
1.06,0,0.005695,-0.021645,-0.991796,0.06,0.056
1.07,0,0.005007,-0.023098,-0.99144,0.069,0.05
1.08,0,0.003886,-0.024601,-0.991006,0.057,0.035
1.09,0,0.003223,-0.025238,-0.990854,0.054,0.025
1.1,0,0.004039,-0.025442,-0.990166,0.084,0.034
1.11,0,0.004574,-0.024932,-0.988484,0.127,0.055
1.12,0,0.003223,-0.023225,-0.986751,0.16,0.074
1.13,0,0.000522,-0.021671,-0.988127,0.146,0.08
1.14,0,-0.004523,-0.02083,-0.996867,0.088,0.071
1.15,0,-0.019378,-0.018282,-1.013047,0.051,0.041
1.16,0,-0.05296,-0.012855,-1.030246,0.003,-0.044
1.17,0,-0.096633,-0.00888,-1.033813,-0.067,-0.138
1.18,0,-0.121043,-0.011249,-1.010855,-0.062,-0.206
1.19,0,-0.102111,-0.021314,-0.968176,0.071,-0.194
1.2,0,-0.049113,-0.038105,-0.932479,0.229,-0.086
1.21,0,0.004981,-0.052756,-0.929523,0.294,0.069
1.22,0,0.038003,-0.054489,-0.959768,0.24,0.204
1.23,0,0.048527,-0.041622,-1.000561,0.14,0.274
1.24,0,0.046284,-0.021798,-1.028335,0.094,0.29
1.25,0,0.040093,-0.004803,-1.03501,0.072,0.239
1.26,0,0.030054,0.003096,-1.028411,0.042,0.112
1.27,0,0.010638,0.001159,-1.019289,0.006,-0.049
1.28,0,-0.021518,-0.005975,-1.012002,-0.034,-0.199
1.29,0,-0.055916,-0.013899,-1.002957,-0.059,-0.282
1.3,0,-0.073217,-0.022129,-0.986242,-0.05,-0.291
1.31,0,-0.063662,-0.031888,-0.964686,-0.013,-0.252
1.32,0,-0.035787,-0.041469,-0.951461,0.029,-0.161
1.33,0,-0.007606,-0.0471,-0.956736,0.072,-0.031
1.34,0,0.007988,-0.045112,-0.9787,0.096,0.1
1.35,0,0.008294,-0.034385,-1.006447,0.094,0.192
1.36,0,-0.00251,-0.01818,-1.027698,0.132,0.244
1.37,0,-0.017619,-0.00358,-1.035036,0.202,0.227
1.38,0,-0.030461,0.003376,-1.027417,0.236,0.13
1.39,0,-0.035685,0.00014,-1.00953,0.225,-0.013
1.4,0,-0.031353,-0.011428,-0.988943,0.182,-0.159
1.41,0,-0.020677,-0.025773,-0.973145,0.124,-0.248
1.42,0,-0.010536,-0.037112,-0.969119,0.076,-0.246
1.43,0,-0.007606,-0.042284,-0.977553,0.036,-0.179
1.44,0,-0.014001,-0.040883,-0.992026,0.002,-0.076
1.45,0,-0.025748,-0.034029,-1.003976,-0.019,0.003
1.46,0,-0.036016,-0.023556,-1.00711,-0.016,0.058
1.47,0,-0.038972,-0.013339,-1.000077,0.008,0.104
1.48,0,-0.032474,-0.007478,-0.987898,0.077,0.129
1.49,0,-0.019709,-0.007733,-0.979031,0.166,0.093
1.5,0,-0.008141,-0.013135,-0.978801,0.191,-0.001
1.51,0,-0.004956,-0.020728,-0.986853,0.161,-0.078
1.52,0,-0.011759,-0.027862,-0.998421,0.118,-0.1
1.53,0,-0.024703,-0.032576,-1.007492,0.1,-0.076
1.54,0,-0.037315,-0.033646,-1.009505,0.094,-0.042
1.55,0,-0.042921,-0.032143,-1.003594,0.09,-0.015
1.56,0,-0.038589,-0.029748,-0.993452,0.105,-0.005
1.57,0,-0.027506,-0.026588,-0.984942,0.142,0.004
1.58,0,-0.016473,-0.022486,-0.983948,0.175,0.028
1.59,0,-0.01316,-0.018715,-0.993376,0.17,0.031
1.6,0,-0.024652,-0.016931,-1.011875,0.124,0.025
1.61,0,-0.054897,-0.016396,-1.033915,0.067,-0.002
1.62,0,-0.096506,-0.017008,-1.048184,0.036,-0.053
1.63,0,-0.131286,-0.019811,-1.044489,0.081,-0.075
1.64,0,-0.141911,-0.02348,-1.021837,0.124,-0.066
1.65,0,-0.122852,-0.025289,-0.988637,0.139,-0.036
1.66,0,-0.085447,-0.024932,-0.959207,0.127,-0.011
1.67,0,-0.051304,-0.024525,-0.948455,0.091,-0.005
1.68,0,-0.038233,-0.024983,-0.961577,0.042,-0.014
1.69,0,-0.051865,-0.025824,-0.989554,-0.016,-0.011
1.7,0,-0.083689,-0.025875,-1.017174,-0.073,0.013
1.71,0,-0.116151,-0.024754,-1.030373,-0.104,0.04
1.72,0,-0.133401,-0.023072,-1.023646,-0.11,0.044
1.73,0,-0.12861,-0.022129,-1.003211,-0.092,0.031
1.74,0,-0.10764,-0.022359,-0.980228,0.004,0.034
1.75,0,-0.084479,-0.023378,-0.965628,0.177,0.073
1.76,0,-0.072503,-0.024881,-0.96624,0.315,0.128
1.77,0,-0.077446,-0.026155,-0.979821,0.346,0.174
1.78,0,-0.095996,-0.027174,-0.997529,0.265,0.199
1.79,0,-0.117705,-0.0272,-1.010346,0.131,0.214
1.8,0,-0.130954,-0.025111,-1.011416,0.048,0.244
1.81,0,-0.131005,-0.020601,-0.998956,0.108,0.287
