xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[ｰ/s],MM5_yawRate[ｰ/s]
0,0,-0.015543,-0.027187,-0.996701,0.157,0.024
0.01,0,-0.014906,-0.025849,-0.995427,0.127,0.011
0.02,0,-0.014256,-0.025212,-0.995287,0.097,0.029
0.03,0,-0.013606,-0.025697,-0.995058,0.07,0.068
0.04,0,-0.014014,-0.025862,-0.995019,0.03,0.096
0.05,0,-0.014613,-0.025251,-0.994561,0.034,0.107
0.06,0,-0.014791,-0.02497,-0.993465,0.079,0.078
0.07,0,-0.014282,-0.025646,-0.992854,0.115,0.065
0.08,0,-0.013785,-0.026639,-0.99251,0.113,0.066
0.09,0,-0.013453,-0.027289,-0.992548,0.086,0.08
0.1,0,-0.01353,-0.026818,-0.992828,0.041,0.08
0.11,0,-0.013148,-0.025595,-0.992178,0.003,0.08
0.12,0,-0.012778,-0.024932,-0.991516,-0.008,0.08
0.13,0,-0.0126,-0.025136,-0.991796,0.007,0.083
0.14,0,-0.013109,-0.024894,-0.992293,0.03,0.11
0.15,0,-0.013568,-0.024868,-0.992777,0.03,0.11
0.16,0,-0.013555,-0.025773,-0.994166,0.03,0.11
0.17,0,-0.013453,-0.02669,-0.995249,0.03,0.11
0.18,0,-0.013632,-0.026652,-0.994561,0.03,0.11
0.19,0,-0.014282,-0.026295,-0.99358,0.026,0.105
0.2,0,-0.015046,-0.02613,-0.994281,-0.013,0.062
0.21,0,-0.015861,-0.025633,-0.996574,-0.035,0.041
0.22,0,-0.017021,-0.025378,-0.997415,0.012,0.053
0.23,0,-0.017123,-0.026219,-0.995338,0.079,0.081
0.24,0,-0.016906,-0.026525,-0.991949,0.113,0.093
0.25,0,-0.015849,-0.026155,-0.990484,0.09,0.08
0.26,0,-0.014587,-0.02599,-0.992,0.089,0.077
0.27,0,-0.014753,-0.026563,-0.994472,0.069,0.049
0.28,0,-0.016282,-0.026576,-0.996115,0.016,0.042
0.29,0,-0.016524,-0.026716,-0.996434,-0.025,0.069
0.3,0,-0.015505,-0.026983,-0.995988,-0.02,0.111
0.31,0,-0.014562,-0.027264,-0.993809,0.03,0.118
0.32,0,-0.014434,-0.02655,-0.991656,0.028,0.092
0.33,0,-0.015517,-0.025212,-0.990994,-0.001,0.063
0.34,0,-0.017046,-0.024525,-0.992433,-0.05,0.048
0.35,0,-0.017288,-0.024512,-0.994255,-0.042,0.02
0.36,0,-0.016256,-0.02441,-0.996344,0.039,-0.03
0.37,0,-0.015186,-0.024525,-0.997555,0.121,-0.023
0.38,0,-0.014791,-0.024588,-0.996892,0.166,0.048
0.39,0,-0.014218,-0.025238,-0.994943,0.12,0.126
0.4,0,-0.013071,-0.026002,-0.993733,0.026,0.179
0.41,0,-0.012014,-0.026678,-0.991898,-0.006,0.159
0.42,0,-0.01181,-0.026423,-0.989796,0.04,0.107
0.43,0,-0.012154,-0.025021,-0.98958,0.137,0.074
0.44,0,-0.013211,-0.023773,-0.991006,0.201,0.024
0.45,0,-0.013441,-0.024015,-0.99372,0.212,0.008
0.46,0,-0.01353,-0.025263,-0.9953,0.18,-0.003
0.47,0,-0.014498,-0.026232,-0.993847,0.119,0.014
0.48,0,-0.016129,-0.026716,-0.992166,0.014,0.052
0.49,0,-0.017505,-0.026869,-0.992663,-0.037,0.062
0.5,0,-0.0186,-0.026092,-0.99414,-0.001,0.041
0.51,0,-0.019199,-0.025289,-0.995019,0.079,0.055
0.52,0,-0.019339,-0.025289,-0.994535,0.113,0.099
0.53,0,-0.018346,-0.025327,-0.993249,0.086,0.135
0.54,0,-0.016537,-0.025773,-0.99307,0.045,0.132
0.55,0,-0.015785,-0.026792,-0.993542,0.047,0.105
0.56,0,-0.01632,-0.027811,-0.99358,0.063,0.063
0.57,0,-0.017021,-0.028767,-0.992752,0.093,0.05
0.58,0,-0.017059,-0.029034,-0.991414,0.115,0.046
0.59,0,-0.016193,-0.028283,-0.990701,0.118,0.007
0.6,0,-0.014485,-0.027646,-0.990573,0.148,-0.016
0.61,0,-0.013594,-0.02706,-0.991784,0.168,0.031
0.62,0,-0.013861,-0.02692,-0.994765,0.138,0.081
0.63,0,-0.014167,-0.02669,-0.997822,0.068,0.096
0.64,0,-0.013785,-0.02669,-0.997236,0.002,0.11
0.65,0,-0.013377,-0.026716,-0.994981,-0.022,0.107
0.66,0,-0.012689,-0.026881,-0.994446,0.012,0.077
0.67,0,-0.011555,-0.026295,-0.996,0.08,0.048
0.68,0,-0.010638,-0.02613,-0.997695,0.131,0.027
0.69,0,-0.010791,-0.025582,-0.998396,0.144,0.042
0.7,0,-0.012371,-0.024716,-0.997313,0.13,0.066
0.71,0,-0.01432,-0.024219,-0.995644,0.13,0.077
0.72,0,-0.015352,-0.024983,-0.99386,0.124,0.048
0.73,0,-0.015237,-0.025722,-0.992217,0.066,0.027
0.74,0,-0.014065,-0.02627,-0.99186,-0.015,0.042
0.75,0,-0.012829,-0.027174,-0.991796,-0.068,0.068
0.76,0,-0.01325,-0.028092,-0.992471,-0.091,0.091
0.77,0,-0.015135,-0.027939,-0.994548,-0.043,0.049
0.78,0,-0.016626,-0.026346,-0.995555,0.02,0.04
0.79,0,-0.016498,-0.024308,-0.994077,0.02,0.044
0.8,0,-0.015301,-0.023607,-0.99186,0.026,0.081
0.81,0,-0.014842,-0.024703,-0.989363,0.079,0.096
0.82,0,-0.014893,-0.026474,-0.988739,0.117,0.11
0.83,0,-0.015441,-0.028003,-0.990637,0.126,0.108
0.84,0,-0.016333,-0.02827,-0.993567,0.086,0.095
0.85,0,-0.017199,-0.02748,-0.996383,0.043,0.096
0.86,0,-0.017709,-0.026474,-0.998013,0.017,0.117
0.87,0,-0.017123,-0.025633,-0.998217,-0.013,0.181
0.88,0,-0.017046,-0.025174,-0.997988,-0.035,0.187
0.89,0,-0.017365,-0.023964,-0.998013,0.007,0.16
0.9,0,-0.016982,-0.022244,-0.998383,0.03,0.119
0.91,0,-0.015403,-0.021301,-0.999682,0.032,0.107
0.92,0,-0.013492,-0.022461,-0.999873,0.047,0.074
0.93,0,-0.012778,-0.026053,-0.998255,0.057,0.022
0.94,0,-0.012536,-0.029671,-0.995899,0.03,-0.005
0.95,0,-0.012422,-0.031137,-0.994306,0.032,-0.002
0.96,0,-0.012498,-0.029519,-0.994484,0.045,0.028
0.97,0,-0.013224,-0.026053,-0.995019,0.045,0.056
0.98,0,-0.013568,-0.023594,-0.994637,0.047,0.112
0.99,0,-0.013555,-0.021989,-0.994255,0.063,0.135
1,0,-0.013402,-0.020996,-0.993873,0.096,0.132
1.01,0,-0.013059,-0.021518,-0.993644,0.151,0.105
1.02,0,-0.013186,-0.023327,-0.994816,0.2,0.062
1.03,0,-0.014473,-0.025378,-0.996141,0.191,0.04
1.04,0,-0.015759,-0.02748,-0.996688,0.108,0.041
1.05,0,-0.015912,-0.028856,-0.996357,0.044,0.052
1.06,0,-0.015199,-0.028678,-0.995338,0.033,0.068
1.07,0,-0.01497,-0.026843,-0.994344,0.064,0.097
1.08,0,-0.014893,-0.024614,-0.993542,0.103,0.12
1.09,0,-0.01409,-0.023072,-0.992408,0.126,0.116
1.1,0,-0.012957,-0.02269,-0.991554,0.086,0.077
1.11,0,-0.012039,-0.023607,-0.992382,0.044,0.049
1.12,0,-0.012052,-0.025939,-0.994969,0.033,0.044
1.13,0,-0.012205,-0.028499,-0.997708,0.059,0.084
1.14,0,-0.012613,-0.029914,-0.99851,0.044,0.123
1.15,0,-0.013262,-0.030207,-0.997236,0.03,0.15
1.16,0,-0.01395,-0.029608,-0.994956,0.028,0.15
1.17,0,-0.013976,-0.028206,-0.99414,0.002,0.146
1.18,0,-0.014282,-0.026843,-0.99516,-0.024,0.107
1.19,0,-0.015071,-0.025926,-0.996051,-0.007,0.077
1.2,0,-0.015989,-0.026028,-0.995771,0.023,0.05
1.21,0,-0.016027,-0.027085,-0.995172,0.045,0.045
1.22,0,-0.016409,-0.028448,-0.993822,0.047,-0.006
1.23,0,-0.016715,-0.029404,-0.993159,0.063,-0.017
1.24,0,-0.016371,-0.029582,-0.994625,0.089,0.013
1.25,0,-0.016307,-0.027837,-0.996459,0.073,0.042
1.26,0,-0.015657,-0.025263,-0.996255,0.06,0.063
1.27,0,-0.014931,-0.022626,-0.994166,0.063,0.049
1.28,0,-0.014562,-0.021607,-0.991796,0.089,0.042
1.29,0,-0.014333,-0.021824,-0.991147,0.075,0.069
1.3,0,-0.014294,-0.022881,-0.991567,0.072,0.11
1.31,0,-0.013912,-0.024282,-0.992382,0.041,0.108
1.32,0,-0.013568,-0.025697,-0.993465,0.002,0.096
1.33,0,-0.013696,-0.027238,-0.992777,-0.022,0.111
1.34,0,-0.015033,-0.028869,-0.991694,0.009,0.116
1.35,0,-0.016855,-0.030105,-0.991287,0.045,0.077
1.36,0,-0.017619,-0.029722,-0.992051,0.047,0.053
1.37,0,-0.015938,-0.028066,-0.995287,0.059,0.083
1.38,0,-0.012969,-0.025225,-0.999937,0.044,0.11
1.39,0,-0.010956,-0.022155,-1.002345,0.032,0.11
1.4,0,-0.010485,-0.020308,-0.999619,0.048,0.11
1.41,0,-0.011619,-0.020346,-0.993236,0.079,0.108
1.42,0,-0.013836,-0.021989,-0.989337,0.12,0.095
1.43,0,-0.016473,-0.024512,-0.988369,0.158,0.092
1.44,0,-0.018664,-0.025544,-0.989172,0.142,0.065
1.45,0,-0.019785,-0.025505,-0.991516,0.111,0.065
1.46,0,-0.019352,-0.025123,-0.994166,0.072,0.068
1.47,0,-0.017263,-0.024779,-0.995402,0.044,0.093
