Time_s,Ax_g,Ay_g,Az_g,RollRate_deg_s,YawRate_deg_s
0.01,0.00306996477969648,0.0153091801618473,-0.991220278821643,0.152,0.053
0.02,0.00324894407970722,0.0232660837461996,-0.993717146552463,0.088,0.007
0.03,0.00503191801647314,0.0190264421476287,-0.996723143222533,0.06,0.013
0.04,0.00742691036973604,0.0196263074458852,-0.998303169910043,0.06,0.04
0.05,0.00887991037193889,0.0243218797693544,-0.996851212184532,0.06,0.05
0.06,0.00984791621825518,0.0262422489102812,-0.992162310000815,0.069,0.059
0.07,0.0106380362435629,0.0224710396523809,-0.988290453860093,0.075,0.092
0.08,0.0112752210586371,0.0211047701498764,-0.989105542489396,0.084,0.125
0.09,0.011530284538336,0.0209023516873019,-0.992774527041775,0.09,0.135
0.1,0.0115302278138566,0.0190350311921578,-0.994787447430832,0.081,0.126
0.11,0.0111481186969987,0.0184847762928574,-0.993819359176071,0.057,0.105
0.12,0.0102809418678359,0.0243669877342947,-0.992086277040668,0.03,0.062
0.13,0.00895586204761939,0.0310638741022953,-0.991092252583249,0.053,0.022
0.14,0.00757986729091561,0.0323399702439999,-0.991449151507737,0.132,0.019
0.15,0.00684087248677187,0.0296898104786983,-0.991857150910783,0.206,0.049
0.16,0.00707095799934779,0.0252575144742393,-0.992698392405538,0.23,0.092
0.17,0.00778405406891328,0.0250690409633986,-0.99516952965129,0.23,0.116
0.18,0.0090839974857208,0.0263023360251169,-0.99705543360637,0.212,0.105
0.19,0.0100518747908749,0.0261421930752623,-0.996469245972422,0.176,0.068
0.2,0.0099498483308176,0.0224630441920739,-0.995806186669067,0.133,0.044
0.21,0.00913489163937484,0.0193914321654866,-0.996647230672092,0.115,0.055
0.22,0.00788601166658066,0.0189549184464829,-0.996902324530018,0.106,0.083
0.23,0.00633217928183895,0.0190957419290816,-0.995016359845934,0.067,0.104
0.24,0.00437022807806619,0.0228377153937744,-0.992825302708347,0.03,0.101
0.25,0.00243307508670172,0.0306469672678721,-0.992647305828452,0.053,0.068
0.26,0.001566975506437,0.0319796326588466,-0.993003212901597,0.117,0.035
0.27,0.00268794081338141,0.0262490577130681,-0.992086124749874,0.154,0.025
0.28,0.00564389381765321,0.0221500227498137,-0.990175176165124,0.166,0.034
0.29,0.00921084036309121,0.0227749428049752,-0.989156216616675,0.17,0.04
0.3,0.0120898908839869,0.0161392626108816,-0.990277427135472,0.17,0.082
0.31,0.01282922804695,0.0125347086884393,-0.992545714241753,0.164,0.143
0.32,0.0116065795209006,0.016443814317256,-0.993742744240436,0.124,0.174
0.33,0.0104348225672953,0.0191829480645293,-0.993284563085787,0.067,0.186
0.34,0.0101287963280665,0.0247793340087156,-0.992188599070929,0.072,0.184
0.35,0.00989945653459602,0.0306112463837468,-0.991424793678675,0.147,0.162
0.36,0.00898203192214375,0.032434349431539,-0.99290152698562,0.194,0.108
0.37,0.00862486323192736,0.0284517167994532,-0.997539140601685,0.158,0.047
0.38,0.00964387151200997,0.0185542904173434,-1.00202312487358,0.112,0.049
0.39,0.0110200714410155,0.0150353240814962,-1.00238033441521,0.118,0.107
0.4,0.0109184296007427,0.0212381332554761,-0.998074704272295,0.154,0.162
0.41,0.00921149901118401,0.0318239402915583,-0.991627909030628,0.179,0.171
0.42,0.00689232411584498,0.0368153926377013,-0.986633858581107,0.185,0.147
0.43,0.0053132133760518,0.0323690994062929,-0.986557730027164,0.176,0.126
0.44,0.00551615097904842,0.0252060443560567,-0.991653576323938,0.164,0.114
0.45,0.00707100588757515,0.0227062515560497,-0.998227353487209,0.175,0.092
0.46,0.00814084373640238,0.027403940510859,-1.00092794218479,0.203,0.038
0.47,0.00780991057999094,0.0287685919806939,-0.998047597542612,0.215,-0.014
0.48,0.00699392268324845,0.0219435454875948,-0.991779806255626,0.188,-0.015
0.49,0.00668888241690891,0.0162729379730808,-0.985334278474355,0.137,0.028
0.5,0.00730000067377995,0.017868580104195,-0.982709526774421,0.1,0.077
0.51,0.00831914538834146,0.0227477989939264,-0.985385597652342,0.105,0.11
0.52,0.010026170509313,0.0241512450628979,-0.990634565331454,0.115,0.12
0.53,0.0126510904024476,0.0208843080559263,-0.994634479666777,0.115,0.114
0.54,0.0144338176176444,0.0248456393137099,-0.995730259963052,0.115,0.059
0.55,0.0133127984022577,0.025817777757028,-0.99514404399559,0.106,-0.008
0.56,0.00931300168667382,0.0268620057236835,-0.99470996102956,0.085,-0.057
0.57,0.00434412270930418,0.0299917470474793,-0.994047950799955,0.0840000000000003,-0.0659999999999997
0.58,0.000675069555383751,0.0333933562390634,-0.992493965343359,0.114,-0.036
0.59,-0.000369004268479704,0.0310179463310646,-0.991347161175055,0.121,0.016
0.6,0.000675050605146115,0.0264340412668878,-0.99285032414251,0.115,0.064
0.61,0.00286615491445062,0.0202033848073591,-0.99654539043836,0.115,0.098
0.62,0.00549112900562948,0.0175279012550721,-0.999297357716275,0.115,0.101
0.63,0.00732600026039295,0.0173567406064214,-0.99878727114226,0.1,0.077
0.64,0.00798787619913283,0.021610675849125,-0.995832175291826,0.063,0.023
0.65,0.00824289365743452,0.0247353608445867,-0.992876135655055,0.063,-0.02
0.66,0.00803893418545048,0.0262020748469236,-0.990939002505007,0.117,-0.03
0.67,0.0073759361253932,0.0265016800664037,-0.99017491380752,0.154,-0.024
0.68,0.00661188762850461,0.0212452268789215,-0.990914107072439,0.133,0.007
0.69,0.00630591077917469,0.0207572703852588,-0.992927241962539,0.106,0.0400000000000001
0.7,0.00699392426946576,0.0237990529855784,-0.995883232388519,0.0940000000000001,0.05
0.71,0.00829389839487364,0.02407621603266,-0.999042179034515,0.105,0.05
0.72,0.00923592122984162,0.019478258869652,-1.00072421287592,0.124,0.068
0.73,0.00972104870581663,0.0155727167447518,-0.999501340482151,0.112,0.098
0.74,0.0100261512600128,0.018591075298565,-0.995118469788136,0.109,0.116
0.75,0.00974599241724042,0.0272089121377514,-0.990124452073475,0.115,0.087
0.76,0.00880287067684668,0.0282496623525108,-0.98760232164044,0.073,0.032
0.77,0.00819187590180197,0.0204470693749285,-0.987372310735819,0.03,0.019
0.78,0.00893087325745936,0.0205126711618437,-0.988442296216744,0.02,0.025
0.79,0.0107138573509534,0.0239514417379169,-0.99073629047078,0.062,0.04
0.8,0.0122179057191594,0.0220449472123537,-0.99361536147103,0.123,0.077
0.81,0.0122179801815654,0.022282670409461,-0.995628402959173,0.127,0.095
0.82,0.010688935859366,0.0274266491602511,-0.995653327387345,0.115,0.0769999999999995
0.83,0.00903285430024279,0.0329237773545423,-0.993233200364057,0.115,0.0319999999999996
0.84,0.00862487248483799,0.0317548853095112,-0.989105153245342,0.1,-0.008
0.85,0.00918585526758941,0.0225132603856362,-0.985742285348192,0.063,-0.002
0.86,0.00933785274108207,0.0208874648338748,-0.986633315316512,0.021,0.01
0.87,0.00954185252940101,0.0288943509851425,-0.992417205432708,0.029,-0.008
0.88,0.0108158990066522,0.0339726696329378,-0.999245917557778,0.096,-0.035
0.89,0.0125998378180034,0.0245626889842742,-1.00240484218083,0.121,-0.021
0.9,0.0135427849524192,0.0152886623969673,-1.00174307345971,0.073,0.022
0.91,0.0133128522785228,0.0186213207331699,-0.999348183862258,0.063,0.055
0.92,0.0119878670044283,0.0251907502116404,-0.995246287502014,0.126,0.065
0.93,0.0100518801385509,0.0230430027443687,-0.98958936999615,0.193,0.074
0.94,0.00770793703606364,0.0182783506484159,-0.983550515787487,0.23,0.089
0.95,0.00500696646532064,0.0191754602027514,-0.979550550754841,0.233999999999999,0.0859999999999997
0.96,0.00258595953754333,0.0218709849427832,-0.980544411780677,0.188,0.056
0.97,0.00126097273452957,0.0218082828316094,-0.986965271742595,0.109,0.022
0.98,0.00164297679091329,0.0186311120845419,-0.99590817266752,0.048,0.019
0.99,0.00317197915779773,0.0203480624038661,-1.00283909727412,0.057,0.04
1,0.00403895647102062,0.0276993890171283,-1.00497906763248,0.099,0.044
1.01,0.00414095568447627,0.0273906715976844,-1.0026091083633,0.106,0.046
1.02,0.00437007130753348,0.018562016896408,-0.998278250128694,0.067,0.077
